,Gebirgsb che im Sauerland,Plankton der Werse bei M??nster,Ruhr,Lippe,Eder,Salinen und Salzgr ben im s??dlichen Gebiet,desgl. im n rdlichen Gebiet,Plankton der Talsperren,Plankton des Dortmund-Ems Kanals,"Teiche und Moor stellen ,??Kipshagen  ","Seen, Weiher und Moorstellen , Heiliges Meer""",Moore im Sauer-und Miinsterland
741. Gom phonema longiceps,+,—,—,—,—,—,—,—,—,—,—,—
742. v. subclavata,—,—,—,—,—,—,—,—,—,—,+,—
743. ，， ，， var. montana,+,—,+,—,+,—,—,—,—,—,+,—
744.  ，，  intricatum var. pumila,+,—,—,—,—,—,—,—,—,—,+,—
745.  ，，  lanceolatum,+,—,—,—,+,—,—,—,—,—,+,+
746.  ，，  gracile,+,—,+,—,—,+,—,—,—,+,+,—
747.  ，，  subtile,—,—,—,—,—,—,—,—,—,—,+,—
748.  ，，  exiguum,—,—,—,—,—,+,—,—,—,—,—,—
749.  ，，  constrictum,+,—,+,+,+,—,—,—,—,+,+,+
750. ，， ，， v. capitata,—,—,—,—,—,—,—,—,—,—,+,—
751.  ，，  olioaceum,+,—,+,+,+,+,—,—,—,—,—,—
752. Denticula tenuis,+,—,+,+,+,—,—,—,—,+,—,—
753. Epithemia zebra,—,—,—,+,—,—,—,—,—,+,—,—
754. ，， ，， var. porcellus,—,—,—,—,—,—,—,—,—,—,+,—
755.  ，，  turgida,—,—,+,—,+,—,—,—,—,—,+,+
756.  ，，  sorex,—,—,—,—,—,—,—,—,—,—,+,—
757. Rhopalodia gibba,—,—,—,—,—,—,—,—,—,—,+,+
758.  ，，  gibberula var. Van Heurckii,—,—,—,+,—,+,+,—,—,—,—,+
759. Hantzschia amphioxys,—,—,+,+,+,—,—,—,—,—,—,—
760. Bacillaria paradoxa,—,+,—,+,—,—,+,—,+,—,—,—
761. Nitzschia tryblionella,—,—,—,+,—,—,—,—,—,—,—,—
762. ，， ，， var. debilis,—,—,—,—,+,—,+,+,—,—,—,—
763.  ，，  apiculata,—,—,—,+,—,+,+,—,—,—,—,—
"764. ,, angustata",—,—,—,—,+,—,—,—,—,—,—,+
765.  ，，  hybrida,—,—,—,—,—,+,+,—,—,—,—,—
766.  ，，  gandersheimiensis,—,—,—,—,—,—,+,—,—,—,—,—
767.  ，，  sinnata,—,—,—,—,+,—,—,—,—,—,—,+
768.  ，，  linearis,+,—,+,+,+,—,—,—,—,+,+,—
"769. ., recta",—,—,—,+,—,+,—,—,—,—,+,—
770.  ，，  oitrea var.salinarum,—,—,—,+,—,+,+,—,—,—,—,—
771.  ，，  hungarica,—,—,—,—,—,+,+,—,—,—,—,—
772.  ，，  dissipafa,+,—,+,—,+,—,—,—,—,—,—,+
773.  ，，  dubia,+,—,—,+,—,+,+,—,—,—,—,—
"774. ,, acuta",—,—,—,—,—,—,—,—,—,—,—,+
775.  ，，  epifhemioides,—,—,—,—,—,—,+,—,—,—,—,—
776.  ，，  amplribia,—,—,+,—,+,+,+,—,—,—,—,+
777.  ，，  Heufleriana,+,—,+,—,—,—,—,—,—,—,—,+
778.  ，，  ignorata,—,—,—,—,—,—,+,—,—,—,+,—
779.  ，，  subtilis,—,—,—,—,—,—,—,—,—,—,+,—
780.  ，，  palea,+,—,+,+,+,—,—,—,—,—,+,—
781.  ，，  sigmoidea,—,+,—,+,+,—,—,—,+,—,+,+
782.  ，，  oermicularis,—,—,+,+,+,—,—,—,—,—,—,—
"783. ,, frusfulum",—,—,—,—,—,+,+,—,—,—,—,—
784.  ，，  sigma,—,—,—,+,—,—,+,—,—,—,—,—
785.  ，，  Clausii,—,—,—,—,—,—,—,—,—,—,+,—
"786. ,, thennalis",—,—,—,—,——,+,—,—,—,—,—,—
787.  ，，  acicularis,—,—,+,+,+,—,—,—,—,—,—,—
788.  ，，  closferium,—,—,—,—,—,+,—,—,—,—,—,—
789. Cymatopleura solea,—,—,+,+,+,—,—,—,—,—,+,+
790.  ，，  elliptica,—,—,+,+,+,—,—,—,—,—,—,+
791. Stenopterobia infermedia,—,—,—,—,—,—,—,—,—,—,+,+
792. Surirella biseriata v. bifrons,—,—,—,—,—,—,—,—,—,—,+,—